event_id,HitposX_0,HitposY_0,HitE_per_bar_0,HitBar_0,ClusterposX_0,ClusterposY_0,Cluster_Eng_0,N_Clusters_0,Cluster_Size_0,HitposX_1,HitposY_1,HitE_per_bar_1,HitBar_1,ClusterposX_1,ClusterposY_1,Cluster_Eng_1,N_Clusters_1,Cluster_Size_1,HitposX_2,HitposY_2,HitE_per_bar_2,HitBar_2,ClusterposX_2,ClusterposY_2,Cluster_Eng_2,N_Clusters_2,Cluster_Size_2,HitposX_3,HitposY_3,HitE_per_bar_3,HitBar_3,ClusterposX_3,ClusterposY_3,Cluster_Eng_3,N_Clusters_3,Cluster_Size_3,HitposX_8,HitposY_8,HitE_per_bar_8,HitBar_8,ClusterposX_8,ClusterposY_8,Cluster_Eng_8,N_Clusters_8,Cluster_Size_8,HitposX_9,HitposY_9,HitE_per_bar_9,HitBar_9,ClusterposX_9,ClusterposY_9,Cluster_Eng_9,N_Clusters_9,Cluster_Size_9,HitposX_10,HitposY_10,HitE_per_bar_10,HitBar_10,ClusterposX_10,ClusterposY_10,Cluster_Eng_10,N_Clusters_10,Cluster_Size_10,HitposX_11,HitposY_11,HitE_per_bar_11,HitBar_11,ClusterposX_11,ClusterposY_11,Cluster_Eng_11,N_Clusters_11,Cluster_Size_11
0,[-0.00086043 -0.00082384],[-0.01489777 -0.01486248],[1.5427257 1.3821975],[ 0 31],"[-0.0008604299509897828, -0.0008238423615694046]","[-0.014897773042321205, -0.014862480573356152]","[1.542725682258606, 1.3821974992752075]",2,2,[0.08231689 0.00110535],[ 0.00960097 -0.01397693],[2.019335  1.5720544],[ 0 31],"[0.08231689035892487, 0.0011053485795855522]","[0.009600965306162834, -0.013976928777992725]","[2.0193350315093994, 1.572054386138916]",2,2,[-0.00117654 -0.00117807],[-0.01438776 -0.01444393],[1.4687366 1.0821632],[ 0 31],"[-0.0011765377130359411, -0.0011780745116993785]","[-0.014387758448719978, -0.014443932101130486]","[1.4687366485595703, 1.0821632146835327]",2,2,[-0.08474046 -0.08397421],[0.07182717 0.07119046],[1.1667736 1.4325628],[ 0 31],"[-0.08474045991897583, -0.0839742124080658]","[0.07182716578245163, 0.07119046151638031]","[1.1667735576629639, 1.4325628280639648]",2,2,[-0.03689884 -0.0001397 ],[ 0.036733   -0.01452464],[1.8459407 1.3777645],[ 0 31],"[-0.03689884394407272, -0.00013970397412776947]","[0.0367329977452755, -0.01452463585883379]","[1.8459407091140747, 1.3777644634246826]",2,2,[0.00113576 0.00111138],[-0.01375067 -0.01379951],[2.3978803  0.19527726],[29 30],[0.0011339226039126515],[-0.013754350133240223],[2.5931575298309326],1,2,[-0.00118664 -0.00118311],[-0.01471825 -0.01472039],[2.1962464  0.43747398],[2 3],[-0.0011860531521961093],[-0.014718609862029552],[2.6337203979492188],1,2,[-0.07838991 -0.07765029],[0.06661561 0.06605484],[1.166439  1.8956876],[14 15],[-0.07793203741312027],[0.06626845896244049],[3.062126636505127],1,2
1,[-0.00731024 -0.0073825 ],[0.01579775 0.0158506 ],[1.560824  1.1985686],[ 0 31],"[-0.007310239132493734, -0.007382497191429138]","[0.015797751024365425, 0.015850601717829704]","[1.5608240365982056, 1.19856858253479]",2,2,[-0.00889879 -0.00890468],[0.01465356 0.01460288],[1.6373737 1.4686882],[ 0 31],"[-0.00889879371970892, -0.008904681541025639]","[0.014653557911515236, 0.01460287906229496]","[1.637373685836792, 1.4686882495880127]",2,2,[-0.00682313 -0.00683647],[0.01535036 0.01531555],[1.4588088 1.4448848],[ 0 31],"[-0.006823128554970026, -0.006836474873125553]","[0.015350361354649067, 0.01531555037945509]","[1.4588087797164917, 1.4448847770690918]",2,2,[0.02264078 0.04076453],[-0.04319631  0.01885795],[2.0898037 1.3562927],[ 0 31],"[0.022640783339738846, 0.04076453298330307]","[-0.043196313083171844, 0.01885794848203659]","[2.089803695678711, 1.356292724609375]",2,2,[-0.00769047  0.03669367],[0.01592403 0.02016002],[1.4658667 3.8277514],[ 0 31],"[-0.007690467871725559, 0.036693673580884933]","[0.015924030914902687, 0.020160024985671043]","[1.4658666849136353, 3.827751398086548]",2,2,[-0.00865042 -0.00866619],[0.01444522 0.01453151],[2.4733777 0.4930325],[29 30],[-0.008653038181364536],[0.014459563419222832],[2.9664101600646973],1,2,[-0.00427932 -0.00712878],[-0.10508235  0.01525564],[3.591453  0.5170314],[2 3],[-0.004637907724827528],[-0.0899384468793869],[4.108484268188477],1,2,[0.04780131 0.01576429],[-0.03178775 -0.01711016],[1.8208158 1.9617887],[14 15],[0.031185811385512352],[-0.02417544461786747],[3.782604455947876],1,2
2,[0.00272616 0.00092637],[ 0.04309895 -0.00899954],[1.7489808 1.7476827],[ 0 31],"[0.0027261637151241302, 0.00092637276975438]","[0.043098945170640945, -0.008999538607895374]","[1.7489807605743408, 1.7476826906204224]",2,2,[0.00050992 0.00049015],[-0.01066436 -0.01072678],[1.2199641 1.4623482],[ 0 31],"[0.0005099150585010648, 0.0004901484935544431]","[-0.010664356872439384, -0.010726778768002987]","[1.2199641466140747, 1.462348222732544]",2,2,[0.00086154 0.00082052],[-0.00906046 -0.00902369],[1.4721959 1.2534657],[ 0 31],"[0.000861537060700357, 0.0008205237681977451]","[-0.00906046386808157, -0.009023692458868027]","[1.4721958637237549, 1.2534656524658203]",2,2,[0.87065613 0.20394748],[1.4416298 1.7703357],[5.417967  1.0242318],[ 0 31],"[0.8706561326980591, 0.20394748449325562]","[1.4416297674179077, 1.7703356742858887]","[5.417966842651367, 1.0242317914962769]",2,2,[0.00102062 0.00101245],[-0.00950028 -0.00958616],[1.2699494 1.5868059],[ 0 31],"[0.0010206211591139436, 0.001012445311062038]","[-0.00950028095394373, -0.009586159139871597]","[1.2699494361877441, 1.5868059396743774]",2,2,[0.0005248  0.00050215],[-0.01137789 -0.01141067],[2.4584072 0.2031818],[29 30],[0.0005230673123151064],[-0.011380390264093876],[2.6615889072418213],1,2,[0.00042049 0.00042197],[-0.00889725 -0.00888876],[2.2608604 0.4882463],[2 3],[0.00042075628880411386],[-0.008895741775631905],[2.7491066455841064],1,2,[0.36487767 0.35542673],[0.01871616 0.01947176],[1.4595089 1.5659579],[14 15],[0.35998591780662537],[0.01910725235939026],[3.0254669189453125],1,2
3,[-0.00232263 -0.01153705],[ 0.00381464 -0.07349934],[1.3465375 2.2370198],[ 0 31],"[-0.0023226311895996332, -0.011537054553627968]","[0.003814638825133443, -0.07349933683872223]","[1.346537470817566, 2.2370197772979736]",2,2,[-0.00052305 -0.00046974],[0.00257953 0.002547  ],[1.6247184 1.1847334],[ 0 31],"[-0.0005230528768151999, -0.0004697407130151987]","[0.002579531166702509, 0.002547004958614707]","[1.624718427658081, 1.1847333908081055]",2,2,[-0.00477093 -0.00457407],[0.00414577 0.00416197],[1.4229393 1.364648 ],[ 0 31],"[-0.004770931322127581, -0.004574072081595659]","[0.0041457731276750565, 0.004161969292908907]","[1.4229393005371094, 1.3646479845046997]",2,2,[-0.07089154 -0.07170603],[-0.21978521 -0.21635656],[1.5376974 1.4117147],[ 0 31],"[-0.07089154422283173, -0.07170602679252625]","[-0.21978521347045898, -0.216356560587883]","[1.537697434425354, 1.4117146730422974]",2,2,[-0.00196707 -0.00190035],[0.00344123 0.00338095],[1.4150285 1.3783339],[ 0 31],"[-0.00196706666611135, -0.001900354167446494]","[0.003441228996962309, 0.0033809475135058165]","[1.41502845287323, 1.3783339262008667]",2,2,[ 0.02462977 -0.00032265],[0.02701099 0.00214836],[2.8538039  0.23754388],[29 30],[0.02271239086985588],[0.025100503116846085],[3.0913476943969727],1,2,[-0.00297743 -0.00292724],[0.0042317  0.00422784],[2.26187    0.58248967],[2 3],[-0.0029671508818864822],[0.004230909049510956],[2.8443596363067627],1,2,[-0.06388275 -0.07887065],[-0.2113523 -0.1878182],[2.0046554 1.096118 ],[14 15],[-0.0691809430718422],[-0.20303304493427277],[3.100773334503174],1,2
4,[0.00970819 0.00968499],[0.00686159 0.00683485],[1.6386186 1.5182124],[ 0 31],"[0.00970818568021059, 0.009684992954134941]","[0.006861589848995209, 0.006834848318248987]","[1.6386185884475708, 1.5182124376296997]",2,2,[-0.01533557  0.01072233],[0.04101497 0.00648037],[2.2130003 1.3310539],[ 0 31],"[-0.015335566364228725, 0.0107223279774189]","[0.04101496934890747, 0.006480373442173004]","[2.2130002975463867, 1.3310538530349731]",2,2,[0.01303095 0.01279489],[0.00927338 0.00906366],[1.5090855 1.3290572],[ 0 31],"[0.013030950911343098, 0.01279489416629076]","[0.00927338469773531, 0.009063659235835075]","[1.5090855360031128, 1.329057216644287]",2,2,[-0.16146198 -0.15770485],[-0.09982345 -0.09843458],[1.6637018 1.6371708],[ 0 31],"[-0.1614619791507721, -0.15770484507083893]","[-0.09982345253229141, -0.09843458235263824]","[1.6637017726898193, 1.6371707916259766]",2,2,[0.00963686 0.00090831],[ 0.00659609 -0.01469071],[1.248792  1.6537067],[ 0 31],"[0.009636864066123962, 0.0009083094191737473]","[0.006596085615456104, -0.014690706506371498]","[1.248792052268982, 1.653706669807434]",2,2,[0.01092304 0.01091755],[0.00641353 0.00640314],[2.8633387 0.2803887],[29 30],[0.010922553949058056],[0.006412599701434374],[3.1437273025512695],1,2,[-0.05635681 -0.02683109],[-0.19347492 -0.00406118],[3.6842837 1.1862006],[2 3],[-0.04916585609316826],[-0.14734342694282532],[4.870484352111816],1,2,[-0.13752258 -0.12963675],[-0.04989866 -0.08791812],[1.7981634 1.2684216],[14 15],[-0.13426078855991364],[-0.06562452763319016],[3.066585063934326],1,2
5,[-0.01176499 -0.0116449 ],[0.0040673  0.00405226],[1.4178193 1.200493 ],[ 0 31],"[-0.011764992959797382, -0.011644898913800716]","[0.004067296627908945, 0.004052255302667618]","[1.4178192615509033, 1.2004929780960083]",2,2,[0.4098856  0.00526035],[ 0.07361474 -0.00668672],[3.6179242 2.0919065],[ 0 31],"[0.40988558530807495, 0.005260354373604059]","[0.07361473888158798, -0.006686719134449959]","[3.617924213409424, 2.0919065475463867]",2,2,[0.1070531  0.10695229],[-0.0699814  -0.11410108],[1.6148322 2.176762 ],[ 0 31],"[0.10705310106277466, 0.10695229470729828]","[-0.0699813961982727, -0.11410108208656311]","[1.6148321628570557, 2.176762104034424]",2,2,[-0.14913033 -0.10093778],[0.02977741 0.0679955 ],[1.7968879 3.9742532],[ 0 31],"[-0.14913032948970795, -0.10093777626752853]","[0.02977740578353405, 0.06799550354480743]","[1.7968878746032715, 3.9742531776428223]",2,2,[-0.0109495  -0.01089006],[0.00367343 0.00363826],[1.3380306 1.247346 ],[ 0 31],"[-0.010949498042464256, -0.010890061035752296]","[0.0036734319292008877, 0.0036382630933076143]","[1.3380305767059326, 1.247346043586731]",2,2,[-0.00848412 -0.008519  ],[0.00174925 0.00177165],[2.382981   0.22927658],[29 30],[-0.008487182669341564],[0.0017512151971459389],[2.612257719039917],1,2,[-0.01360391 -0.0135634 ],[0.00345776 0.0034626 ],[2.1817431  0.60466415],[2 3],[-0.01359511911869049],[0.0034588088747113943],[2.786407232284546],1,2,[-0.01920721 -0.13724752],[-0.13321204  0.00316943],[3.5195944 1.4365481],[14 15],[-0.05342143774032593],[-0.09368159621953964],[4.956142425537109],1,2
6,[0.00043524 0.00047346],[0.00968744 0.00972213],[1.2929181 1.2116371],[ 0 31],"[0.0004352351534180343, 0.000473457999760285]","[0.009687439538538456, 0.009722134098410606]","[1.292918086051941, 1.2116371393203735]",2,2,[-0.00012612 -0.02317172],[0.03967843 0.07744992],[1.7364321 1.4401568],[ 0 31],"[-0.0001261205761693418, -0.023171715438365936]","[0.0396784283220768, 0.07744991779327393]","[1.7364320755004883, 1.4401568174362183]",2,2,[0.0862225  0.04439163],[0.04385943 0.01793539],[2.221467  1.6857768],[ 0 31],"[0.08622249960899353, 0.044391632080078125]","[0.04385942593216896, 0.017935391515493393]","[2.2214670181274414, 1.6857768297195435]",2,2,[ 0.7901428   1.860246    3.4351087  -1.545559   -0.16897897],[-0.66767544  0.4551938   2.1242452  -0.6329321   0.19412825],[7.2473197  0.280455   0.11319375 1.1839855  3.7219748 ],[ 0  1  2 30 31],"[0.8686026334762573, -0.5011975169181824]","[-0.585101842880249, -0.005471303593367338]","[7.640968322753906, 4.9059600830078125]",2,5,[0.0006554  0.00070162],[0.01005791 0.0100604 ],[1.4771702 1.1735181],[ 0 31],"[0.0006554037099704146, 0.0007016249583102763]","[0.010057914070785046, 0.010060401633381844]","[1.4771702289581299, 1.1735180616378784]",2,2,[0.00262694 0.00258877],[0.00950397 0.00957946],[2.5925586  0.24566948],[29 30],[0.0026236390694975853],[0.009510508738458157],[2.838228225708008],1,2,[-0.00054611 -0.00053824],[0.0078707  0.00791967],[1.9476562  0.43962577],[2 3],[-0.0005446583381853998],[0.007879717275500298],[2.387281894683838],1,2,[3.6798368  2.5078719  0.46236286],[-1.4705188  -0.6562791  -0.10870563],[0.00536679 3.3159347  4.038765  ],[13 14 15],[1.3862731456756592],[-0.35639718174934387],[7.3600664138793945],1,3
7,[-0.02185562 -0.02173167],[-0.01448725 -0.01431543],[1.3799216 1.4235642],[ 0 31],"[-0.021855615079402924, -0.02173166535794735]","[-0.014487249776721, -0.01431543380022049]","[1.379921555519104, 1.4235641956329346]",2,2,[-0.01626815 -0.01616537],[-0.01029924 -0.01021574],[1.5130452 1.3416858],[ 0 31],"[-0.01626814901828766, -0.016165371984243393]","[-0.010299243032932281, -0.010215742513537407]","[1.5130451917648315, 1.3416857719421387]",2,2,[-0.01500702 -0.02538985],[-0.01345659 -0.01773877],[1.3656639 1.4962777],[ 0 31],"[-0.015007021836936474, -0.02538984641432762]","[-0.013456587679684162, -0.017738770693540573]","[1.3656638860702515, 1.4962776899337769]",2,2,[-0.2820466 11.911954  15.149593  15.387837  16.495407  -0.277165 ],[ 0.05149743  9.192293   11.24147    11.436261   12.406945    0.05018482],"[8.9307511e-01 1.4920460e-04 3.7913611e-05 7.7101338e-04 6.2098757e-06
 1.8961188e+00]",[ 0  7  8  9 10 31],"[-0.2820465862751007, 14.847806930541992, -0.2771649956703186]","[0.051497429609298706, 11.087662696838379, 0.050184816122055054]","[0.8930751085281372, 0.000964341510552913, 1.8961187601089478]",3,6,[-0.02068087 -0.02050236],[-0.01274218 -0.01261905],[1.289905  1.2854334],[ 0 31],"[-0.0206808689981699, -0.0205023642629385]","[-0.012742182239890099, -0.01261905301362276]","[1.2899049520492554, 1.2854334115982056]",2,2,[ 0.00208391 -0.01564678],[-2.0370098e-05 -9.6384427e-03],[2.9031076 0.1946387],[29 30],[0.0009698467911221087],[-0.000624696200247854],[3.0977463722229004],1,2,[-0.02429207 -0.02424403],[-0.01689885 -0.01686422],[2.372667  0.4446841],[2 3],[-0.0242844857275486],[-0.016893383115530014],[2.8173511028289795],1,2,[-0.2245409  -0.48143578  3.778913    4.603032  ],[-0.44076216 -0.35987595 16.01008    16.116247  ],[3.9564874  3.2731907  0.01538101 0.21401398],[14 15 24 25],"[-0.3408484160900116, 4.547774791717529]","[-0.4041414260864258, 16.109128952026367]","[7.229678153991699, 0.22939498722553253]",2,4
8,[0.00784131 0.01032412],[ 0.00837625 -0.02555767],[1.3847393 2.2898831],[ 0 31],"[0.007841313257813454, 0.010324117727577686]","[0.008376254700124264, -0.025557667016983032]","[1.3847392797470093, 2.2898831367492676]",2,2,[0.01356141 0.00648194],[0.02573344 0.01089942],[1.9006735 1.1553766],[ 0 31],"[0.013561408035457134, 0.006481940858066082]","[0.02573344111442566, 0.010899418964982033]","[1.900673508644104, 1.1553765535354614]",2,2,[0.00897633 0.00893713],[0.00562982 0.00571038],[1.8913617 1.1504983],[ 0 31],"[0.008976326324045658, 0.008937131613492966]","[0.0056298235431313515, 0.005710383877158165]","[1.8913617134094238, 1.1504982709884644]",2,2,[0.10211574 0.07480569],[-0.327321   -0.26831037],[1.6170362 3.4750507],[ 0 31],"[0.10211574286222458, 0.07480569183826447]","[-0.32732099294662476, -0.2683103680610657]","[1.61703622341156, 3.475050687789917]",2,2,[0.0073957  0.00731955],[0.0092618  0.00933047],[1.4086984 1.3288952],[ 0 31],"[0.007395701948553324, 0.007319550961256027]","[0.009261798113584518, 0.009330465458333492]","[1.4086984395980835, 1.3288952112197876]",2,2,[0.00976528 0.00675253],[-0.00690726  0.01108401],[3.0239396  0.25640458],[29 30],[0.009529792703688145],[-0.005500988103449345],[3.280344247817993],1,2,[0.0087509  0.00874791],[0.00629665 0.0063389 ],[2.33721   0.5435297],[2 3],[0.008750339038670063],[0.006304621230810881],[2.880739688873291],1,2,[-0.04128204  0.00509072],[-0.13957936 -0.21049714],[1.5399145 2.056944 ],[14 15],[-0.014762735925614834],[-0.18013526499271393],[3.596858501434326],1,2
9,[-0.00714577 -0.04054445],[-0.01007482 -0.0046835 ],[1.3313293 1.5968432],[ 0 31],"[-0.0071457684971392155, -0.04054444655776024]","[-0.010074823163449764, -0.004683499690145254]","[1.331329345703125, 1.5968432426452637]",2,2,[-0.00488274 -0.0048341 ],[-0.01385719 -0.01393112],[1.4051943 1.5234292],[ 0 31],"[-0.004882742650806904, -0.004834095016121864]","[-0.013857191428542137, -0.013931116089224815]","[1.4051942825317383, 1.5234291553497314]",2,2,[-0.00775884 -0.00778768],[-0.00778873 -0.00780901],[1.4701953 1.3850119],[ 0 31],"[-0.007758838590234518, -0.007787676062434912]","[-0.007788732647895813, -0.007809005677700043]","[1.4701952934265137, 1.385011911392212]",2,2,[-0.03961167 -0.03488444],[0.07424486 0.09332204],[1.2788429 1.8882164],[ 0 31],"[-0.03961167111992836, -0.034884437918663025]","[0.07424485683441162, 0.0933220386505127]","[1.2788429260253906, 1.8882163763046265]",2,2,[-0.04788169 -0.00727086],[-0.02954759 -0.01144729],[1.6649534 1.2118897],[ 0 31],"[-0.04788168519735336, -0.00727086141705513]","[-0.029547592625021935, -0.011447293683886528]","[1.664953351020813, 1.2118897438049316]",2,2,[-3.4489223e+01 -4.0951978e-02 -4.5528701e-03],[-13.460086    -0.05530747  -0.01442901],[0.04878393 3.0774755  0.19233271],[21 29 30],"[-34.48922348022461, -0.03881095349788666]","[-13.46008586883545, -0.05290297046303749]","[0.048783931881189346, 3.269808292388916]",2,3,[-0.0078152  -0.00780795],[-0.00820481 -0.00822002],[2.304251  0.4793736],[2 3],[-0.007813951000571251],[-0.008207432925701141],[2.7836246490478516],1,2,[-0.03668972 -0.03627632],[0.06535916 0.06415315],[1.2148134 1.6842444],[14 15],[-0.036449551582336426],[0.0646585151553154],[2.8990578651428223],1,2
